order_id,customer_id,order_date,status,total_amount
ORD0000001,CUST000095,2025-12-05 06:27:50,delivered,1347.7
ORD0000002,CUST000098,2025-07-20 09:25:09,processing,1207.42
ORD0000003,CUST000007,2025-11-26 05:36:21,shipped,3069.91
ORD0000004,CUST000166,2025-06-24 12:47:30,delivered,2348.12
ORD0000005,CUST000180,2025-02-01 10:01:15,delivered,627.55
ORD0000006,CUST000012,2024-10-12 04:45:48,shipped,2488.49
ORD0000007,CUST000025,2025-04-05 08:26:58,canceled,721.54
ORD0000008,CUST000117,2025-08-24 06:03:14,delivered,3728.54
ORD0000009,CUST000139,2025-11-22 18:24:35,delivered,3646.67
ORD0000010,CUST000107,2024-11-07 12:32:46,delivered,3097.48
ORD0000011,CUST000072,2024-10-04 08:20:03,delivered,1125.48
ORD0000012,CUST000114,2025-06-05 12:32:52,canceled,541.81
ORD0000013,CUST000176,2024-12-09 02:44:01,shipped,4890.32
ORD0000014,CUST000092,2025-11-25 10:30:24,shipped,989.55
ORD0000015,CUST000032,2025-10-17 06:39:12,processing,1099.92
ORD0000016,CUST000164,2025-03-30 18:52:15,returned,300.36
ORD0000017,CUST000086,2025-08-13 13:42:43,returned,3945.54
ORD0000018,CUST000053,2025-06-11 04:26:35,delivered,2793.33
ORD0000019,CUST000151,2025-03-23 18:10:32,delivered,1203.34
ORD0000020,CUST000199,2024-06-14 02:19:48,delivered,3000.11
ORD0000021,CUST000071,2025-01-24 20:37:37,returned,2724.07
ORD0000022,CUST000045,2025-11-17 15:10:51,delivered,177.61
ORD0000023,CUST000004,2025-03-05 19:47:03,delivered,1227.76
ORD0000024,CUST000083,2024-08-16 15:10:24,shipped,309.38
ORD0000025,CUST000190,2025-08-09 03:06:37,shipped,3741.04
ORD0000026,CUST000122,2025-06-01 22:45:10,delivered,2590.53
ORD0000027,CUST000028,2025-02-22 07:42:37,shipped,4729.81
ORD0000028,CUST000012,2025-10-23 07:38:03,shipped,3234.54
ORD0000029,CUST000008,2025-02-24 11:18:11,returned,4244.13
ORD0000030,CUST000110,2025-08-31 02:43:52,shipped,4553.02
ORD0000031,CUST000019,2025-11-12 15:06:44,shipped,784.25
ORD0000032,CUST000033,2025-11-23 10:47:31,delivered,2947.56
ORD0000033,CUST000183,2025-07-21 10:49:58,shipped,3007.09
ORD0000034,CUST000076,2025-09-11 22:10:54,shipped,2179.49
ORD0000035,CUST000180,2024-09-08 13:37:14,canceled,3272.04
ORD0000036,CUST000197,2025-12-04 16:38:11,delivered,1114.36
ORD0000037,CUST000116,2025-10-12 09:20:24,shipped,4145.73
ORD0000038,CUST000103,2025-05-30 10:50:42,delivered,1597.11
ORD0000039,CUST000081,2025-10-31 06:36:19,shipped,4770.28
ORD0000040,CUST000176,2025-03-02 04:06:29,processing,4167.27
ORD0000041,CUST000024,2025-06-27 18:21:14,processing,3707.04
ORD0000042,CUST000034,2025-04-07 05:23:05,processing,4785.29
ORD0000043,CUST000144,2024-10-21 16:42:37,delivered,2083.5
ORD0000044,CUST000171,2025-11-21 01:22:43,shipped,4583.43
